,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Granulicella,5,2,6,7,4,5,5,2,3,3,9,2,4,2,14,6,4,6,10,5,4,5,4,5,5,8,9,6,5,3,4,7
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Telmatobacter,1,4,0,2,2,4,1,2,4,4,2,2,1,7,1,0,2,4,5,3,1,1,4,6,0,2,2,0,2,0,0,3
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Terriglobus,5,0,5,3,5,6,4,2,3,4,6,6,2,5,2,3,4,5,4,4,6,2,3,3,4,7,1,3,0,3,3,3
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Unclassified Acidobacteriaceae,161,199,161,107,196,205,175,142,129,178,161,124,115,206,150,137,219,284,196,126,208,183,163,140,205,210,173,165,204,162,144,137
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Unclassified Acidobacteriales;,3,5,3,7,0,0,0,3,12,4,1,2,13,4,1,19,2,7,0,3,4,1,2,0,0,3,1,1,2,4,5,1
Bacteria;Acidobacteria;Acidobacteria;Candidatus Chloracidobacterium;Acidobacteria bacterium IGE-018;Unclassified Acidobacteria bacterium IGE-018,0,0,0,0,1,0,0,0,4,0,0,0,5,1,0,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria;Candidatus Chloracidobacterium;Acidobacteriaceae bacterium Gsoil 1619;Unclassified Acidobacteriaceae bacterium Gsoil 1619,1,1,2,0,3,4,2,1,6,2,3,1,4,3,2,1,7,3,1,1,1,1,0,0,4,5,1,6,2,2,1,5
Bacteria;Acidobacteria;Acidobacteria;Candidatus Chloracidobacterium;Candidatus Chloracidobacterium thermophilum B;Unclassified Candidatus Chloracidobacterium thermophilum B,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
Bacteria;Acidobacteria;Acidobacteria;Candidatus Chloracidobacterium;Candidatus Chloracidobacterium thermophilum;Unclassified Candidatus Chloracidobacterium thermophilum,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria;Candidatus Chloracidobacterium;Unclassified Candidatus Chloracidobacterium;,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bacteria;Acidobacteria;Acidobacteria;Candidatus Solibacter;bacterium Ellin6505;Unclassified bacterium Ellin6505,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Bacteria;Acidobacteria;Acidobacteria;Candidatus Solibacter;bacterium Ellin7504;Unclassified bacterium Ellin7504,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Bacteria;Acidobacteria;Acidobacteria;Candidatus Solibacter;Candidatus Solibacter usitatus Ellin6076;Unclassified Candidatus Solibacter usitatus Ellin6076,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria;Candidatus Solibacter;Unclassified Candidatus Solibacter;,33,15,12,2,38,23,18,10,28,21,18,18,28,29,22,23,36,34,18,16,36,24,21,31,60,43,26,19,20,25,11,16
Bacteria;Acidobacteria;Acidobacteria;DA023;Acidobacteria bacterium IGE-001;Unclassified Acidobacteria bacterium IGE-001,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria;DA023;Acidobacteria bacterium IGE-004;Unclassified Acidobacteria bacterium IGE-004,12,7,8,11,3,8,9,15,12,6,17,12,7,13,18,6,8,4,10,18,9,10,12,13,11,5,15,16,5,9,12,13
Bacteria;Acidobacteria;Acidobacteria;DA023;Acidobacteria bacterium IGE-007;Unclassified Acidobacteria bacterium IGE-007,1,0,0,1,0,0,1,2,1,0,0,0,0,0,0,3,0,1,0,2,1,0,0,0,0,0,0,4,1,0,0,0
Bacteria;Acidobacteria;Acidobacteria;DA023;Acidobacteria bacterium IGE-010;Unclassified Acidobacteria bacterium IGE-010,4,3,1,3,3,4,5,3,21,2,4,2,16,3,4,8,1,3,3,2,4,4,5,4,1,3,7,5,1,2,6,3
Bacteria;Acidobacteria;Acidobacteria;DA023;Acidobacteria bacterium IGE-011;Unclassified Acidobacteria bacterium IGE-011,8,13,15,6,10,10,10,16,5,13,16,7,13,16,13,14,10,8,7,8,9,6,11,16,8,3,12,18,11,7,10,13
Bacteria;Acidobacteria;Acidobacteria;DA023;Unclassified DA023;,766,909,895,766,782,984,1022,949,1180,1014,996,957,1166,1017,1239,1041,642,943,945,780,922,741,888,1077,613,782,1326,1222,688,713,1265,794
Bacteria;Acidobacteria;Acidobacteria;DA052;bacterium Ellin6513;Unclassified bacterium Ellin6513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria;DA052;bacterium Ellin7505;Unclassified bacterium Ellin7505,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2
Bacteria;Acidobacteria;Acidobacteria;DA052;bacterium Ellin7509;Unclassified bacterium Ellin7509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Bacteria;Acidobacteria;Acidobacteria;DA052;Unclassified DA052;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria;Order Incertae Sedis;Family Incertae Sedis;Bryobacter,7,10,6,1,7,5,8,0,1,6,5,3,2,10,0,1,7,3,3,2,5,0,2,5,10,10,2,5,4,2,3,4
Bacteria;Acidobacteria;Acidobacteria;Order Incertae Sedis;Family Incertae Sedis;Unclassified Family Incertae Sedis,1,2,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,1,2,2,0,0,1,1,0,0,0,1
Bacteria;Acidobacteria;Acidobacteria;Order Incertae Sedis;Unclassified Order Incertae Sedis;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria;RB41;Acidobacteriaceae bacterium K22;Unclassified Acidobacteriaceae bacterium K22,22,20,25,23,21,30,24,7,52,22,18,17,48,14,14,48,22,30,24,17,26,20,16,11,20,24,16,12,20,25,12,16
Bacteria;Acidobacteria;Acidobacteria;RB41;Unclassified RB41;,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria;Unclassified Acidobacteria;;,520,579,444,307,585,648,415,384,521,582,490,384,496,560,471,460,649,729,509,416,647,574,477,497,663,545,543,452,639,523,543,400
Bacteria;Acidobacteria;Holophagae;Acanthopleuribacterales;Acanthopleuribacteraceae;Acanthopleuribacter,2,5,3,1,4,3,3,1,2,3,5,3,2,2,0,4,4,1,4,2,3,2,5,4,2,1,3,7,2,5,2,3
Bacteria;Acidobacteria;Holophagae;Acanthopleuribacterales;Acanthopleuribacteraceae;Unclassified Acanthopleuribacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Bacteria;Acidobacteria;Holophagae;Acanthopleuribacterales;Unclassified Acanthopleuribacterales;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bacteria;Acidobacteria;Holophagae;Holophagales;Holophagaceae;Geothrix,1,2,0,0,0,1,1,0,2,0,1,2,0,2,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0
Bacteria;Acidobacteria;Holophagae;Holophagales;Holophagaceae;Holophaga,0,7,1,3,2,5,1,3,2,2,1,6,3,2,3,5,4,3,2,1,1,3,3,3,0,2,3,5,2,5,2,1
Bacteria;Acidobacteria;Holophagae;Holophagales;Holophagaceae;Unclassified Holophagaceae,2,3,2,1,3,4,1,2,4,4,4,1,2,5,1,1,1,0,3,1,4,1,3,3,0,1,1,1,1,2,2,2
Bacteria;Acidobacteria;Holophagae;Unclassified Holophagae;;,4,3,4,3,3,1,5,2,0,3,7,3,7,2,4,2,1,1,5,2,1,2,4,3,3,2,3,1,2,3,3,0
Bacteria;Acidobacteria;Unclassified Acidobacteria;;;,55,66,83,62,56,83,83,77,75,78,66,81,71,98,102,78,61,82,66,66,71,81,73,74,60,64,98,85,59,60,103,69
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Acidimicrobium,4,1,1,10,11,5,6,1,7,4,6,2,3,4,5,15,10,7,14,5,11,12,7,4,7,4,3,6,5,12,1,10
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;CL500-29 marine group,13,9,10,11,9,7,10,10,8,7,8,13,15,16,15,12,10,5,9,6,13,17,14,6,14,23,14,7,14,19,6,10
